date,attention
2015-07-01,13.132406773233749
2015-08-01,13.28089928519207
2015-09-01,13.365819230030416
2015-10-01,13.360222127162164
2015-11-01,13.403813571979592
2015-12-01,13.519558382285961
2016-01-01,13.452692497952471
2016-02-01,13.381929885645349
2016-03-01,13.298552837934277
2016-04-01,13.295216920344902
2016-05-01,13.303435821047845
2016-06-01,13.166493175106558
2016-07-01,13.0077714945992
2016-08-01,13.098382111746725
2016-09-01,13.285364490632842
2016-10-01,13.472714568499152
2016-11-01,13.734449081522019
2016-12-01,13.39955562350141
2017-01-01,13.536744618400919
2017-02-01,13.390773941491297
2017-03-01,13.397467680306965
2017-04-01,13.198370259772021
2017-05-01,13.636930393425468
2017-06-01,14.850845041569343
2017-07-01,13.384629175485703
2017-08-01,13.300057577812794
2017-09-01,13.442263334960352
2017-10-01,13.468600637752838
2017-11-01,13.648843034940166
2017-12-01,13.388146406614828
2018-01-01,13.588768038125176
2018-02-01,13.436885024366152
2018-03-01,13.398070535917013
2018-04-01,13.300855946304749
2018-05-01,13.37085805614773
2018-06-01,13.225026458253836
2018-07-01,13.284992300852547
2018-08-01,13.374658657825794
2018-09-01,13.394965821620014
2018-10-01,13.654302533560717
2018-11-01,13.609603845123512
2018-12-01,13.53466506277148
2019-01-01,13.595827263051747
2019-02-01,13.585757713310128
2019-03-01,13.58549847218045
2019-04-01,13.48019724952629
2019-05-01,13.574668813478278
2019-06-01,13.460609753594532
2019-07-01,13.4251931420863
2019-08-01,13.407614497484236
2019-09-01,13.759131722527044
2019-10-01,13.774544803110997
2019-11-01,13.695231534921405
2019-12-01,13.467701906318906
2020-01-01,13.58322661021145
2020-02-01,13.534141847569085
2020-03-01,13.260480489526705
2020-04-01,13.062532690338276
2020-05-01,12.982857602215555
2020-06-01,12.805919624924659
2020-07-01,12.626180030375208
2020-08-01,12.62710921996225
2020-09-01,13.049246298768814
2020-10-01,13.245274574866675
2020-11-01,13.289451153807613
2020-12-01,12.902788450967144
2021-01-01,13.404272317349253
2021-02-01,13.148502747813769
2021-03-01,13.191176499403976
2021-04-01,13.050328025120134
2021-05-01,12.967709904531162
2021-06-01,12.874832354439516
2021-07-01,13.108489579811708
2021-08-01,13.284439708970087
2021-09-01,13.4117514937353
2021-10-01,13.541673532334482
2021-11-01,13.055026277228318
2021-12-01,12.723070183787415
2022-01-01,12.772167399563305
2022-02-01,12.785527474664608
2022-03-01,12.884334588590674
2022-04-01,13.421366622853906
2022-05-01,12.662354434463687
2022-06-01,12.487530386961982
2022-07-01,12.45467729456221
2022-08-01,12.43355477160314
2022-09-01,12.580353197241047
2022-10-01,12.609365395776681
2022-11-01,12.706005154161527
2022-12-01,12.520700886966562
2023-01-01,12.58574461902903
2023-02-01,12.46800220014041
2023-03-01,12.573468910161724
2023-04-01,13.52865880736654
2023-05-01,12.59897247345003
2023-06-01,12.361857703319565
2023-07-01,12.385886894987845
2023-08-01,12.372103899588108
2023-09-01,12.447468603561468
2023-10-01,12.498995958651925
2023-11-01,12.459551396640457
2023-12-01,12.388594182326795
2024-01-01,12.576942858207142
2024-02-01,12.479190421642034
2024-03-01,12.524013517886406
2024-04-01,12.549222536904628
2024-05-01,12.539529626548054
2024-06-01,12.354337466194169
2024-07-01,12.291548260507458
2024-08-01,12.24006335989741
2024-09-01,12.358252813745448
2024-10-01,12.482563580146095
2024-11-01,12.609635946348742
2024-12-01,8.783702698635217
