date,price
,
1993-01-01,3.1880622990225387
1993-02-01,3.1986747524196018
1993-03-01,3.216114753432629
1993-04-01,3.1949057504853666
1993-05-01,3.221517672080578
1993-06-01,3.218056168362857
1993-07-01,3.2202519832406447
1993-08-01,3.257863447526986
1993-09-01,3.2443494568166527
1993-10-01,3.2700973889305076
1993-11-01,3.25936609933638
1993-12-01,3.2647453375290327
1994-01-01,3.3058490414414172
1994-02-01,3.2762518392718807
1994-03-01,3.227695459872335
1994-04-01,3.2445970949230123
1994-05-01,3.2604109195642654
1994-06-01,3.2306403804569923
1994-07-01,3.269044433078214
1994-08-01,3.306457323832961
1994-09-01,3.2748136132020393
1994-10-01,3.308907120038277
1994-11-01,3.2682773162759577
1994-12-01,3.267591508841247
1995-01-01,3.3085884249420547
1995-02-01,3.3485871499365287
1995-03-01,3.370656843097532
1995-04-01,3.4052462316939676
1995-05-01,3.4441523536739447
1995-06-01,3.4583258850025254
1995-07-01,3.4958396508454617
1995-08-01,3.5002816049650938
1995-09-01,3.536461370273697
1995-10-01,3.5388416401939424
1995-11-01,3.5823606132000556
1995-12-01,3.5918080521029867
1996-01-01,3.6329312496629815
1996-02-01,3.636116019605429
1996-03-01,3.6487564174853375
1996-04-01,3.6639992624197113
1996-05-01,3.686445483208567
1996-06-01,3.689943760280842
1996-07-01,3.649251958101448
1996-08-01,3.668326959632274
1996-09-01,3.7175618067889507
1996-10-01,3.7545146951446453
1996-11-01,3.824976893282701
1996-12-01,3.795989775020628
1997-01-01,3.860844145410702
1997-02-01,3.870364209038498
1997-03-01,3.8214155262081175
1997-04-01,3.8859599779297063
1997-05-01,3.9472500561104042
1997-06-01,3.983644357095185
1997-07-01,4.063809398739554
1997-08-01,4.010616751049216
1997-09-01,4.0539252550653675
1997-10-01,4.032777830792431
1997-11-01,4.070744109597105
1997-12-01,4.085665574816283
1998-01-01,4.102432683281904
1998-02-01,4.169431868746622
1998-03-01,4.21419376248994
1998-04-01,4.229773475289453
1998-05-01,4.208785430512318
1998-06-01,4.247300310175707
1998-07-01,4.236871375036169
1998-08-01,4.084675841620474
1998-09-01,4.14284616043545
1998-10-01,4.224333973691952
1998-11-01,4.278520672343436
1998-12-01,4.338575044884129
1999-01-01,4.376511327404557
1999-02-01,4.343917181284096
1999-03-01,4.382125907242535
1999-04-01,4.42181944375859
1999-05-01,4.398688035243516
1999-06-01,4.449573848562424
1999-07-01,4.421074717876201
1999-08-01,4.415882281772201
1999-09-01,4.390479369167331
1999-10-01,4.455400041937026
1999-11-01,4.471914895729293
1999-12-01,4.525001356469928
2000-01-01,4.476383813270015
2000-02-01,4.461040752617243
2000-03-01,4.5510031503018435
2000-04-01,4.517789755643865
2000-05-01,4.501942353447065
2000-06-01,4.519080791512386
2000-07-01,4.505605508117913
2000-08-01,4.56890074708245
2000-09-01,4.509966888289053
2000-10-01,4.507786515518748
2000-11-01,4.430200717147805
2000-12-01,4.421898073799705
2001-01-01,4.4684597430223905
2001-02-01,4.36821151289852
2001-03-01,4.307853531779345
2001-04-01,4.392527999665452
2001-05-01,4.386906390944602
2001-06-01,4.359948998716301
2001-07-01,4.352540861191149
2001-08-01,4.291375384985514
2001-09-01,4.2024745623740305
2001-10-01,4.219157364847533
2001-11-01,4.2942440794434855
2001-12-01,4.296433457662169
2002-01-01,4.290020288756658
2002-02-01,4.271920732186399
2002-03-01,4.301789978521313
2002-04-01,4.244735392486599
2002-05-01,4.238783866888216
2002-06-01,4.158616615098012
2002-07-01,4.080010961289659
2002-08-01,4.086789634203206
2002-09-01,3.9715496125376313
2002-10-01,4.055096123464742
2002-11-01,4.114949898434665
2002-12-01,4.051814469807234
2003-01-01,4.031814588465774
2003-02-01,4.0182439601282764
2003-03-01,4.016357657848933
2003-04-01,4.101603776980599
2003-05-01,4.154989229697761
2003-06-01,4.16197832572562
2003-07-01,4.1834509894425524
2003-08-01,4.2038673934037885
2003-09-01,4.189069766310981
2003-10-01,4.245044623877329
2003-11-01,4.255906154957125
2003-12-01,4.300280565813542
2004-01-01,4.324572033050173
2004-02-01,4.338050997681587
2004-03-01,4.32121741811741
2004-04-01,4.305614515118357
2004-05-01,4.322592758763877
2004-06-01,4.337281166644501
2004-07-01,4.3081756813960315
2004-08-01,4.31060873082627
2004-09-01,4.31644203435966
2004-10-01,4.333398367455499
2004-11-01,4.373994759077067
2004-12-01,4.401916846575556
2005-01-01,4.383953773588049
2005-02-01,4.404641988985291
2005-03-01,4.382259876208753
2005-04-01,4.367267333010104
2005-05-01,4.3989832477484905
2005-06-01,4.396468997157337
2005-07-01,4.43804471538745
2005-08-01,4.428626127234906
2005-09-01,4.4323713506028515
2005-10-01,4.412684354558192
2005-11-01,4.455698294212813
2005-12-01,4.448495762980132
2006-01-01,4.4775133153472115
2006-02-01,4.483222185488908
2006-03-01,4.49562306225885
2006-04-01,4.51214427574557
2006-05-01,4.4815605486504415
2006-06-01,4.479755180264633
2006-07-01,4.488633455127735
2006-08-01,4.510220864833541
2006-09-01,4.532476430830895
2006-10-01,4.567894570871308
2006-11-01,4.587585291185715
2006-12-01,4.595311183209261
2007-01-01,4.615795905593015
2007-02-01,4.595983756250803
2007-03-01,4.603547547590337
2007-04-01,4.650848460489856
2007-05-01,4.684205893605597
2007-06-01,4.665176869332552
2007-07-01,4.637666726337531
2007-08-01,4.650418113787299
2007-09-01,4.683669133002107
2007-10-01,4.701876679421984
2007-11-01,4.662374442961255
2007-12-01,4.645756434949108
2008-01-01,4.588683787016682
2008-02-01,4.56250120651137
2008-03-01,4.548580458071896
